Onset: 0.13s, Offset: 0.30s, Duration: 0.17s, Pitch: 880.8800048828125 Hz, Note: A5
Onset: 0.30s, Offset: 0.48s, Duration: 0.17s, Pitch: 1322.2099609375 Hz, Note: E6
Onset: 0.48s, Offset: 0.53s, Duration: 0.06s, Pitch: 1322.1800537109375 Hz, Note: E6
Onset: 0.53s, Offset: 0.65s, Duration: 0.12s, Pitch: 1322.72998046875 Hz, Note: E6
Onset: 0.65s, Offset: 0.80s, Duration: 0.15s, Pitch: 2999.530029296875 Hz, Note: F#7
Onset: 0.80s, Offset: 0.99s, Duration: 0.19s, Pitch: 2956.5400390625 Hz, Note: F#7
Onset: 0.99s, Offset: 1.15s, Duration: 0.16s, Pitch: 1176.469970703125 Hz, Note: D6
Onset: 1.15s, Offset: 1.24s, Duration: 0.09s, Pitch: 1176.489990234375 Hz, Note: D6
Onset: 1.24s, Offset: 1.32s, Duration: 0.08s, Pitch: 1173.9100341796875 Hz, Note: D6
Onset: 1.32s, Offset: 1.49s, Duration: 0.16s, Pitch: 3006.449951171875 Hz, Note: F#7
Onset: 1.49s, Offset: 1.58s, Duration: 0.09s, Pitch: 1569.8299560546875 Hz, Note: G6
Onset: 1.58s, Offset: 1.67s, Duration: 0.09s, Pitch: 1567.9200439453125 Hz, Note: G6
Onset: 1.67s, Offset: 1.76s, Duration: 0.09s, Pitch: 1979.56005859375 Hz, Note: B6
Onset: 1.76s, Offset: 1.85s, Duration: 0.08s, Pitch: 2012.5999755859375 Hz, Note: B6
Onset: 1.85s, Offset: 1.94s, Duration: 0.09s, Pitch: 2357.6201171875 Hz, Note: D7
Onset: 1.94s, Offset: 2.02s, Duration: 0.08s, Pitch: 2364.639892578125 Hz, Note: D7
Onset: 2.02s, Offset: 2.08s, Duration: 0.06s, Pitch: 1980.219970703125 Hz, Note: B6
Onset: 2.08s, Offset: 2.18s, Duration: 0.10s, Pitch: 1992.3499755859375 Hz, Note: B6
Onset: 2.18s, Offset: 2.28s, Duration: 0.09s, Pitch: 1979.7900390625 Hz, Note: B6
Onset: 2.28s, Offset: 2.36s, Duration: 0.08s, Pitch: 1975.6099853515625 Hz, Note: B6
Onset: 2.36s, Offset: 2.52s, Duration: 0.16s, Pitch: 1764.47998046875 Hz, Note: A6
Onset: 2.52s, Offset: 2.74s, Duration: 0.22s, Pitch: 1764.43994140625 Hz, Note: A6
Onset: 2.74s, Offset: 2.87s, Duration: 0.13s, Pitch: 3588.050048828125 Hz, Note: A7
Onset: 2.87s, Offset: 2.97s, Duration: 0.10s, Pitch: 1978.9599609375 Hz, Note: B6
Onset: 2.97s, Offset: 3.04s, Duration: 0.07s, Pitch: 1986.77001953125 Hz, Note: B6
Onset: 3.04s, Offset: 3.20s, Duration: 0.16s, Pitch: 1111.4300537109375 Hz, Note: C#6
Onset: 3.20s, Offset: 3.31s, Duration: 0.10s, Pitch: 1110.219970703125 Hz, Note: C#6
Onset: 3.31s, Offset: 3.39s, Duration: 0.08s, Pitch: 1108.8900146484375 Hz, Note: C#6
Onset: 3.39s, Offset: 3.46s, Duration: 0.07s, Pitch: 1980.280029296875 Hz, Note: B6
Onset: 3.46s, Offset: 3.54s, Duration: 0.08s, Pitch: 1982.97998046875 Hz, Note: B6
Onset: 3.54s, Offset: 3.63s, Duration: 0.09s, Pitch: 1764.6600341796875 Hz, Note: A6
Onset: 3.63s, Offset: 3.73s, Duration: 0.09s, Pitch: 3580.919921875 Hz, Note: A7
Onset: 3.73s, Offset: 3.89s, Duration: 0.16s, Pitch: 1176.4300537109375 Hz, Note: D6
Onset: 3.89s, Offset: 4.05s, Duration: 0.16s, Pitch: 1177.4000244140625 Hz, Note: D6
Onset: 4.05s, Offset: 4.23s, Duration: 0.17s, Pitch: 2985.139892578125 Hz, Note: F#7
Onset: 4.23s, Offset: 4.35s, Duration: 0.13s, Pitch: 2980.610107421875 Hz, Note: F#7
Onset: 4.35s, Offset: 4.41s, Duration: 0.06s, Pitch: 1481.5899658203125 Hz, Note: F#6
Onset: 4.41s, Offset: 4.56s, Duration: 0.15s, Pitch: 2665.610107421875 Hz, Note: E7
Onset: 4.56s, Offset: 4.69s, Duration: 0.13s, Pitch: 2981.679931640625 Hz, Note: F#7
Onset: 4.69s, Offset: 4.75s, Duration: 0.06s, Pitch: 1481.030029296875 Hz, Note: F#6
Onset: 4.75s, Offset: 4.89s, Duration: 0.14s, Pitch: 2665.070068359375 Hz, Note: E7
Onset: 4.89s, Offset: 5.03s, Duration: 0.14s, Pitch: 1569.8299560546875 Hz, Note: G6
Onset: 5.03s, Offset: 5.09s, Duration: 0.06s, Pitch: 1483.5999755859375 Hz, Note: F#6
Onset: 5.09s, Offset: 5.25s, Duration: 0.16s, Pitch: 2666.909912109375 Hz, Note: E7
Onset: 5.25s, Offset: 5.42s, Duration: 0.17s, Pitch: 2980.639892578125 Hz, Note: F#7
Onset: 5.42s, Offset: 5.60s, Duration: 0.17s, Pitch: 2678.25 Hz, Note: E7
Onset: 5.60s, Offset: 5.77s, Duration: 0.17s, Pitch: 880.7000122070312 Hz, Note: A5
Onset: 5.77s, Offset: 5.93s, Duration: 0.16s, Pitch: 2684.5400390625 Hz, Note: E7
Onset: 5.93s, Offset: 6.00s, Duration: 0.07s, Pitch: 2675.510009765625 Hz, Note: E7
Onset: 6.00s, Offset: 6.11s, Duration: 0.10s, Pitch: 2889.93994140625 Hz, Note: F#7
Onset: 6.11s, Offset: 6.28s, Duration: 0.17s, Pitch: 2983.43994140625 Hz, Note: F#7
Onset: 6.28s, Offset: 6.46s, Duration: 0.17s, Pitch: 2678.419921875 Hz, Note: E7
Onset: 6.46s, Offset: 6.62s, Duration: 0.16s, Pitch: 1176.56005859375 Hz, Note: D6
Onset: 6.62s, Offset: 6.73s, Duration: 0.12s, Pitch: 1177.1099853515625 Hz, Note: D6
Onset: 6.73s, Offset: 6.79s, Duration: 0.06s, Pitch: 1180.2900390625 Hz, Note: D6
Onset: 6.79s, Offset: 6.95s, Duration: 0.16s, Pitch: 2983.739990234375 Hz, Note: F#7
Onset: 6.95s, Offset: 7.04s, Duration: 0.08s, Pitch: 1570.0400390625 Hz, Note: G6
