Onset: 0.10s, Offset: 0.28s, Duration: 0.17s, Pitch: 1760.0 Hz, Note: A6
Onset: 0.28s, Offset: 0.45s, Duration: 0.17s, Pitch: 3970.0 Hz, Note: B7
Onset: 0.45s, Offset: 0.63s, Duration: 0.17s, Pitch: 3970.0 Hz, Note: B7
Onset: 0.63s, Offset: 0.78s, Duration: 0.15s, Pitch: 4440.0 Hz, Note: C#8
Onset: 0.78s, Offset: 0.96s, Duration: 0.19s, Pitch: 2640.0 Hz, Note: E7
Onset: 0.96s, Offset: 1.13s, Duration: 0.16s, Pitch: 2360.0 Hz, Note: D7
Onset: 1.13s, Offset: 1.22s, Duration: 0.09s, Pitch: 2350.0 Hz, Note: D7
Onset: 1.22s, Offset: 1.30s, Duration: 0.08s, Pitch: 2970.0 Hz, Note: F#7
Onset: 1.30s, Offset: 1.46s, Duration: 0.16s, Pitch: 4450.0 Hz, Note: C#8
Onset: 1.46s, Offset: 1.56s, Duration: 0.09s, Pitch: 1570.0 Hz, Note: G6
Onset: 1.56s, Offset: 1.65s, Duration: 0.09s, Pitch: 1980.0 Hz, Note: B6
Onset: 1.65s, Offset: 1.74s, Duration: 0.09s, Pitch: 1980.0 Hz, Note: B6
Onset: 1.74s, Offset: 1.82s, Duration: 0.08s, Pitch: 2350.0 Hz, Note: D7
Onset: 1.82s, Offset: 1.92s, Duration: 0.09s, Pitch: 2350.0 Hz, Note: D7
Onset: 1.92s, Offset: 2.00s, Duration: 0.08s, Pitch: 1980.0 Hz, Note: B6
Onset: 2.00s, Offset: 2.16s, Duration: 0.16s, Pitch: 1970.0 Hz, Note: B6
Onset: 2.16s, Offset: 2.25s, Duration: 0.09s, Pitch: 1980.0 Hz, Note: B6
Onset: 2.25s, Offset: 2.33s, Duration: 0.08s, Pitch: 1760.0 Hz, Note: A6
Onset: 2.33s, Offset: 2.50s, Duration: 0.16s, Pitch: 3530.0 Hz, Note: A7
Onset: 2.50s, Offset: 2.72s, Duration: 0.22s, Pitch: 1760.0 Hz, Note: A6
Onset: 2.72s, Offset: 2.84s, Duration: 0.13s, Pitch: 3530.0 Hz, Note: A7
Onset: 2.84s, Offset: 2.95s, Duration: 0.10s, Pitch: 1980.0 Hz, Note: B6
Onset: 2.95s, Offset: 3.02s, Duration: 0.07s, Pitch: 2220.0 Hz, Note: C#7
Onset: 3.02s, Offset: 3.18s, Duration: 0.16s, Pitch: 2230.0 Hz, Note: C#7
Onset: 3.18s, Offset: 3.29s, Duration: 0.10s, Pitch: 2220.0 Hz, Note: C#7
Onset: 3.29s, Offset: 3.37s, Duration: 0.08s, Pitch: 1980.0 Hz, Note: B6
Onset: 3.37s, Offset: 3.42s, Duration: 0.06s, Pitch: 1980.0 Hz, Note: B6
Onset: 3.42s, Offset: 3.52s, Duration: 0.09s, Pitch: 1760.0 Hz, Note: A6
Onset: 3.52s, Offset: 3.61s, Duration: 0.09s, Pitch: 1760.0 Hz, Note: A6
Onset: 3.61s, Offset: 3.69s, Duration: 0.08s, Pitch: 2350.0 Hz, Note: D7
Onset: 3.69s, Offset: 3.87s, Duration: 0.17s, Pitch: 2350.0 Hz, Note: D7
Onset: 3.87s, Offset: 4.03s, Duration: 0.16s, Pitch: 2350.0 Hz, Note: D7
Onset: 4.03s, Offset: 4.19s, Duration: 0.16s, Pitch: 2970.0 Hz, Note: F#7
Onset: 4.19s, Offset: 4.33s, Duration: 0.14s, Pitch: 2970.0 Hz, Note: F#7
Onset: 4.33s, Offset: 4.38s, Duration: 0.05s, Pitch: 2640.0 Hz, Note: E7
Onset: 4.38s, Offset: 4.54s, Duration: 0.16s, Pitch: 2650.0 Hz, Note: E7
Onset: 4.54s, Offset: 4.67s, Duration: 0.13s, Pitch: 2970.0 Hz, Note: F#7
Onset: 4.67s, Offset: 4.73s, Duration: 0.06s, Pitch: 2640.0 Hz, Note: E7
Onset: 4.73s, Offset: 4.86s, Duration: 0.14s, Pitch: 2640.0 Hz, Note: E7
Onset: 4.86s, Offset: 5.00s, Duration: 0.14s, Pitch: 2970.0 Hz, Note: F#7
Onset: 5.00s, Offset: 5.06s, Duration: 0.06s, Pitch: 2640.0 Hz, Note: E7
Onset: 5.06s, Offset: 5.20s, Duration: 0.14s, Pitch: 2640.0 Hz, Note: E7
Onset: 5.20s, Offset: 5.40s, Duration: 0.20s, Pitch: 2970.0 Hz, Note: F#7
Onset: 5.40s, Offset: 5.46s, Duration: 0.06s, Pitch: 2640.0 Hz, Note: E7
Onset: 5.46s, Offset: 5.56s, Duration: 0.10s, Pitch: 2640.0 Hz, Note: E7
Onset: 5.56s, Offset: 5.75s, Duration: 0.19s, Pitch: 2640.0 Hz, Note: E7
Onset: 5.75s, Offset: 5.91s, Duration: 0.16s, Pitch: 2640.0 Hz, Note: E7
Onset: 5.91s, Offset: 5.98s, Duration: 0.07s, Pitch: 2640.0 Hz, Note: E7
Onset: 5.98s, Offset: 6.08s, Duration: 0.10s, Pitch: 2970.0 Hz, Note: F#7
Onset: 6.08s, Offset: 6.26s, Duration: 0.17s, Pitch: 2970.0 Hz, Note: F#7
Onset: 6.26s, Offset: 6.34s, Duration: 0.08s, Pitch: 2640.0 Hz, Note: E7
Onset: 6.34s, Offset: 6.43s, Duration: 0.09s, Pitch: 2350.0 Hz, Note: D7
Onset: 6.43s, Offset: 6.58s, Duration: 0.15s, Pitch: 2360.0 Hz, Note: D7
Onset: 6.58s, Offset: 6.70s, Duration: 0.12s, Pitch: 2350.0 Hz, Note: D7
Onset: 6.70s, Offset: 6.77s, Duration: 0.07s, Pitch: 2970.0 Hz, Note: F#7
Onset: 6.77s, Offset: 6.93s, Duration: 0.16s, Pitch: 2970.0 Hz, Note: F#7
Onset: 6.93s, Offset: 7.01s, Duration: 0.08s, Pitch: 1570.0 Hz, Note: G6
Onset: 7.01s, Offset: 7.11s, Duration: 0.09s, Pitch: 1980.0 Hz, Note: B6
Onset: 7.11s, Offset: 7.17s, Duration: 0.07s, Pitch: 1980.0 Hz, Note: B6
Onset: 7.17s, Offset: 7.28s, Duration: 0.10s, Pitch: 2350.0 Hz, Note: D7
Onset: 7.28s, Offset: 7.40s, Duration: 0.12s, Pitch: 2350.0 Hz, Note: D7
Onset: 7.40s, Offset: 7.45s, Duration: 0.06s, Pitch: 1980.0 Hz, Note: B6
Onset: 7.45s, Offset: 7.62s, Duration: 0.16s, Pitch: 1970.0 Hz, Note: B6
Onset: 7.62s, Offset: 7.74s, Duration: 0.13s, Pitch: 1980.0 Hz, Note: B6
Onset: 7.74s, Offset: 7.79s, Duration: 0.05s, Pitch: 1760.0 Hz, Note: A6
Onset: 7.79s, Offset: 7.96s, Duration: 0.17s, Pitch: 3530.0 Hz, Note: A7
Onset: 7.96s, Offset: 8.19s, Duration: 0.22s, Pitch: 1760.0 Hz, Note: A6
Onset: 8.19s, Offset: 8.30s, Duration: 0.12s, Pitch: 1770.0 Hz, Note: A6
Onset: 8.30s, Offset: 8.41s, Duration: 0.10s, Pitch: 1980.0 Hz, Note: B6
Onset: 8.41s, Offset: 8.48s, Duration: 0.07s, Pitch: 2220.0 Hz, Note: C#7
Onset: 8.48s, Offset: 8.64s, Duration: 0.16s, Pitch: 2230.0 Hz, Note: C#7
Onset: 8.64s, Offset: 8.77s, Duration: 0.13s, Pitch: 2220.0 Hz, Note: C#7
Onset: 8.77s, Offset: 8.82s, Duration: 0.06s, Pitch: 1980.0 Hz, Note: B6
Onset: 8.82s, Offset: 8.88s, Duration: 0.06s, Pitch: 1980.0 Hz, Note: B6
Onset: 8.88s, Offset: 8.99s, Duration: 0.10s, Pitch: 1760.0 Hz, Note: A6
Onset: 8.99s, Offset: 9.10s, Duration: 0.12s, Pitch: 1760.0 Hz, Note: A6
Onset: 9.10s, Offset: 9.17s, Duration: 0.07s, Pitch: 2350.0 Hz, Note: D7
Onset: 9.17s, Offset: 9.32s, Duration: 0.15s, Pitch: 2360.0 Hz, Note: D7
Onset: 9.32s, Offset: 9.46s, Duration: 0.14s, Pitch: 2350.0 Hz, Note: D7
Onset: 9.46s, Offset: 9.66s, Duration: 0.20s, Pitch: 2960.0 Hz, Note: F#7
Onset: 9.66s, Offset: 9.80s, Duration: 0.14s, Pitch: 2970.0 Hz, Note: F#7
Onset: 9.80s, Offset: 9.86s, Duration: 0.06s, Pitch: 2640.0 Hz, Note: E7
Onset: 9.86s, Offset: 10.01s, Duration: 0.15s, Pitch: 2640.0 Hz, Note: E7
Onset: 10.01s, Offset: 10.15s, Duration: 0.14s, Pitch: 2970.0 Hz, Note: F#7
Onset: 10.15s, Offset: 10.36s, Duration: 0.21s, Pitch: 2640.0 Hz, Note: E7
Onset: 10.36s, Offset: 10.52s, Duration: 0.16s, Pitch: 2640.0 Hz, Note: E7
Onset: 10.52s, Offset: 10.69s, Duration: 0.17s, Pitch: 2350.0 Hz, Note: D7
Onset: 10.69s, Offset: 10.88s, Duration: 0.19s, Pitch: 2350.0 Hz, Note: D7
Onset: 10.88s, Offset: 11.04s, Duration: 0.16s, Pitch: 1180.0 Hz, Note: D6
Onset: 11.04s, Offset: 11.26s, Duration: 0.22s, Pitch: 2970.0 Hz, Note: F#7
Onset: 11.26s, Offset: 11.39s, Duration: 0.13s, Pitch: 2960.0 Hz, Note: F#7
Onset: 11.39s, Offset: 11.61s, Duration: 0.22s, Pitch: 2360.0 Hz, Note: D7
Onset: 11.61s, Offset: 11.74s, Duration: 0.13s, Pitch: 2360.0 Hz, Note: D7
Onset: 11.74s, Offset: 11.98s, Duration: 0.24s, Pitch: 1980.0 Hz, Note: B6
Onset: 11.98s, Offset: 12.09s, Duration: 0.10s, Pitch: 1760.0 Hz, Note: A6
Onset: 12.09s, Offset: 12.33s, Duration: 0.24s, Pitch: 1760.0 Hz, Note: A6
Onset: 12.33s, Offset: 12.43s, Duration: 0.10s, Pitch: 1760.0 Hz, Note: A6
Onset: 12.43s, Offset: 12.52s, Duration: 0.08s, Pitch: 1760.0 Hz, Note: A6
Onset: 12.52s, Offset: 12.61s, Duration: 0.09s, Pitch: 2640.0 Hz, Note: E7
Onset: 12.61s, Offset: 12.69s, Duration: 0.08s, Pitch: 2640.0 Hz, Note: E7
Onset: 12.69s, Offset: 12.78s, Duration: 0.09s, Pitch: 2970.0 Hz, Note: F#7
Onset: 12.78s, Offset: 12.96s, Duration: 0.17s, Pitch: 2970.0 Hz, Note: F#7
Onset: 12.96s, Offset: 13.05s, Duration: 0.09s, Pitch: 1570.0 Hz, Note: G6
Onset: 13.05s, Offset: 13.13s, Duration: 0.08s, Pitch: 2970.0 Hz, Note: F#7
Onset: 13.13s, Offset: 13.22s, Duration: 0.09s, Pitch: 2970.0 Hz, Note: F#7
Onset: 13.22s, Offset: 13.31s, Duration: 0.08s, Pitch: 2640.0 Hz, Note: E7
Onset: 13.31s, Offset: 13.41s, Duration: 0.10s, Pitch: 2640.0 Hz, Note: E7
Onset: 13.41s, Offset: 13.48s, Duration: 0.07s, Pitch: 2350.0 Hz, Note: D7
Onset: 13.48s, Offset: 13.71s, Duration: 0.23s, Pitch: 2350.0 Hz, Note: D7
Onset: 13.71s, Offset: 13.82s, Duration: 0.10s, Pitch: 2970.0 Hz, Note: F#7
Onset: 13.82s, Offset: 14.06s, Duration: 0.24s, Pitch: 2970.0 Hz, Note: F#7
Onset: 14.06s, Offset: 14.15s, Duration: 0.09s, Pitch: 2350.0 Hz, Note: D7
Onset: 14.15s, Offset: 14.41s, Duration: 0.26s, Pitch: 2360.0 Hz, Note: D7
Onset: 14.41s, Offset: 14.50s, Duration: 0.09s, Pitch: 1980.0 Hz, Note: B6
Onset: 14.50s, Offset: 14.78s, Duration: 0.28s, Pitch: 1980.0 Hz, Note: B6
Onset: 14.78s, Offset: 14.85s, Duration: 0.07s, Pitch: 1760.0 Hz, Note: A6
Onset: 14.85s, Offset: 15.06s, Duration: 0.21s, Pitch: 1760.0 Hz, Note: A6
Onset: 15.06s, Offset: 15.20s, Duration: 0.14s, Pitch: 1770.0 Hz, Note: A6
Onset: 15.20s, Offset: 15.37s, Duration: 0.17s, Pitch: 1760.0 Hz, Note: A6
Onset: 15.37s, Offset: 15.44s, Duration: 0.07s, Pitch: 1870.0 Hz, Note: A#6
Onset: 15.44s, Offset: 15.53s, Duration: 0.09s, Pitch: 1980.0 Hz, Note: B6
Onset: 15.53s, Offset: 15.63s, Duration: 0.09s, Pitch: 1980.0 Hz, Note: B6
